FLIGHT,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
100-CLT-JFK,CLT,JFK,2016-09-01 13:00:00,2016-09-01 14:58:00,541.0
321-CLT-EWR,CLT,EWR,2016-09-01 13:29:00,2016-09-01 15:20:00,529.0
1277-CLT-MIA,CLT,MIA,2016-09-01 22:30:00,2016-09-02 00:33:00,650.0
1453-CLT-ORD,CLT,ORD,2016-09-01 16:25:00,2016-09-01 18:40:00,599.0
1380-CLT-EWR,CLT,EWR,2016-09-01 20:09:00,2016-09-01 21:59:00,529.0
1384-CLT-EWR,CLT,EWR,2016-09-01 22:15:00,2016-09-02 00:02:00,529.0
1495-CLT-STT,CLT,STT,2016-09-01 11:55:00,2016-09-01 15:35:00,1520.0
1496-CLT-EWR,CLT,EWR,2016-09-01 09:55:00,2016-09-01 11:52:00,529.0
1364-CLT-EWR,CLT,EWR,2016-09-01 07:45:00,2016-09-01 09:39:00,529.0
1458-CLT-EWR,CLT,EWR,2016-09-01 11:00:00,2016-09-01 12:44:00,529.0
1608-CLT-JFK,CLT,JFK,2016-09-01 22:05:00,2016-09-01 23:56:00,541.0
2249-CLT-EWR,CLT,EWR,2016-09-01 15:10:00,2016-09-01 17:02:00,529.0
2529-CLT-JFK,CLT,JFK,2016-09-01 09:14:00,2016-09-01 11:07:00,541.0
400-CLT-PHX,CLT,PHX,2016-09-01 17:50:00,2016-09-01 22:14:00,1773.0
409-CLT-DEN,CLT,DEN,2016-09-01 11:50:00,2016-09-01 15:28:00,1337.0
413-CLT-ATL,CLT,ATL,2016-09-01 09:45:00,2016-09-01 11:06:00,226.0
428-CLT-DEN,CLT,DEN,2016-09-01 07:35:00,2016-09-01 11:10:00,1337.0
445-CLT-DEN,CLT,DEN,2016-09-01 09:30:00,2016-09-01 13:08:00,1337.0
448-CLT-DFW,CLT,DFW,2016-09-01 06:00:00,2016-09-01 08:40:00,936.0
451-CLT-SLC,CLT,SLC,2016-09-01 20:00:00,2016-09-02 00:22:00,1727.0
2483-CLT-IAH,CLT,IAH,2016-09-01 22:10:00,2016-09-02 00:46:00,912.0
2658-CLT-JFK,CLT,JFK,2016-09-01 20:00:00,2016-09-01 21:56:00,541.0
1696-CLT-DFW,CLT,DFW,2016-09-01 11:35:00,2016-09-01 14:26:00,936.0
1700-CLT-BDL,CLT,BDL,2016-09-01 14:25:00,2016-09-01 16:19:00,644.0
1701-CLT-MIA,CLT,MIA,2016-09-01 18:20:00,2016-09-01 20:27:00,650.0
1702-CLT-MIA,CLT,MIA,2016-09-01 20:15:00,2016-09-01 22:21:00,650.0
1704-CLT-BDL,CLT,BDL,2016-09-01 22:14:00,2016-09-02 00:07:00,644.0
1706-CLT-MEM,CLT,MEM,2016-09-01 22:39:00,2016-09-02 00:21:00,511.0
1708-CLT-FLL,CLT,FLL,2016-09-01 09:45:00,2016-09-01 11:50:00,632.0
1709-CLT-CHS,CLT,CHS,2016-09-01 07:40:00,2016-09-01 08:47:00,168.0
1711-CLT-FLL,CLT,FLL,2016-09-01 19:49:00,2016-09-01 21:45:00,632.0
1713-CLT-ILM,CLT,ILM,2016-09-01 09:25:00,2016-09-01 10:25:00,185.0
1715-CLT-BNA,CLT,BNA,2016-09-01 15:40:00,2016-09-01 16:55:00,328.0
1716-CLT-MCI,CLT,MCI,2016-09-01 20:11:00,2016-09-01 22:39:00,808.0
